episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,agent_timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,hist_stats/episode_reward,hist_stats/episode_lengths,timers/sample_time_ms,timers/sample_throughput,timers/learn_time_ms,timers/learn_throughput,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/learner_stats/allreduce_latency,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/kl,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff
nan,nan,nan,nan,0,0,4000,4000,False,0,1,f24b3fc66c464d399610b1a20a5bb801,2023-05-25_16-52-45,1685004765,11.506000518798828,11.506000518798828,16968,LAPTOP-DG45TOIF,192.168.1.100,11.506000518798828,0,1,7b727_00000,[],[],5721.587,699.107,5784.999,691.444,4000,4000,4000,10.329411764705881,76.4764705882353,0.0,0.2,5e-05,38650.72119140625,-0.020604470977559686,38650.73693847656,-2.7874485e-05,0.01925811404362321,1.3675775602459908,0.0
nan,nan,nan,nan,0,0,8000,8000,False,0,2,f24b3fc66c464d399610b1a20a5bb801,2023-05-25_16-52-56,1685004776,11.579002380371094,23.085002899169922,16968,LAPTOP-DG45TOIF,192.168.1.100,23.085002899169922,0,2,7b727_00000,[],[],5712.241,700.251,5829.999,686.106,8000,8000,8000,11.368749999999999,76.49374999999999,0.0,0.2,5e-05,23560.79638671875,-0.029327687720069662,23560.822509765625,-1.8812716e-06,0.01679456848069094,1.3334881588816643,0.0
nan,nan,nan,nan,0,0,12000,12000,False,0,3,f24b3fc66c464d399610b1a20a5bb801,2023-05-25_16-53-08,1685004788,11.4329993724823,34.51800227165222,16968,LAPTOP-DG45TOIF,192.168.1.100,34.51800227165222,0,3,7b727_00000,[],[],5702.287,701.473,5803.656,689.221,12000,12000,12000,10.61875,76.49375,0.0,0.2,5e-05,17119.176635742188,-0.008776835398748517,17119.182678222656,5.0550327e-05,0.0127928493602667,1.2881798036396503,0.0
nan,nan,nan,nan,0,0,16000,16000,False,0,4,f24b3fc66c464d399610b1a20a5bb801,2023-05-25_16-53-19,1685004799,11.673030376434326,46.19103264808655,16968,LAPTOP-DG45TOIF,192.168.1.100,46.19103264808655,0,4,7b727_00000,[],[],5724.641,698.734,5823.0,686.931,16000,16000,16000,11.758823529411764,76.35882352941177,0.0,0.2,5e-05,8968.12516784668,-0.01830265880562365,8968.140823364258,-1.0794029e-05,0.013639679353218526,1.2471623718738556,0.0
nan,nan,nan,nan,0,0,20000,20000,False,0,5,f24b3fc66c464d399610b1a20a5bb801,2023-05-25_16-53-31,1685004811,11.612034797668457,57.803067445755005,16968,LAPTOP-DG45TOIF,192.168.1.100,57.803067445755005,0,5,7b727_00000,[],[],5731.306,697.921,5828.806,686.247,20000,20000,20000,12.1375,76.26875,0.0,0.2,5e-05,5649.651885986328,-0.0172376690316014,5649.666152954102,0.00062616915,0.015260525047779083,1.1986918449401855,0.0
nan,nan,nan,nan,0,0,24000,24000,False,0,6,f24b3fc66c464d399610b1a20a5bb801,2023-05-25_16-53-42,1685004822,11.461001873016357,69.26406931877136,16968,LAPTOP-DG45TOIF,192.168.1.100,69.26406931877136,0,6,7b727_00000,[],[],5726.527,698.504,5816.839,687.659,24000,24000,24000,10.129411764705882,76.22941176470587,0.0,0.2,5e-05,2118.2549362182617,-0.015582037449348718,2118.266700744629,-0.008044813,0.019016006495803595,1.1187401935458183,0.0
nan,nan,nan,nan,0,0,28000,28000,False,0,7,f24b3fc66c464d399610b1a20a5bb801,2023-05-25_16-53-54,1685004834,11.479998588562012,80.74406790733337,16968,LAPTOP-DG45TOIF,192.168.1.100,80.74406790733337,0,7,7b727_00000,[],[],5722.51,698.994,5811.576,688.281,28000,28000,28000,9.89375,76.2,0.0,0.2,5e-05,1421.1257400512695,-0.018976989027578384,1421.1421012878418,-0.0062133167,0.013156638480722904,1.0955540351569653,0.0
nan,nan,nan,nan,0,0,32000,32000,False,0,8,f24b3fc66c464d399610b1a20a5bb801,2023-05-25_16-54-06,1685004846,11.584024906158447,92.32809281349182,16968,LAPTOP-DG45TOIF,192.168.1.100,92.32809281349182,0,8,7b727_00000,[],[],5726.744,698.477,5813.379,688.068,32000,32000,32000,10.7,76.18125,0.0,0.2,5e-05,803.292013168335,-0.020859546901192516,803.310474395752,6.183982e-07,0.011956163187278435,1.039200820028782,0.0
nan,nan,nan,nan,0,0,36000,36000,False,0,9,f24b3fc66c464d399610b1a20a5bb801,2023-05-25_16-54-17,1685004857,11.548999547958374,103.8770923614502,16968,LAPTOP-DG45TOIF,192.168.1.100,103.8770923614502,0,9,7b727_00000,[],[],5727.193,698.422,5813.892,688.007,36000,36000,36000,10.61764705882353,76.18823529411763,0.0,0.2,5e-05,394.86942863464355,-0.022979365909122862,394.889591217041,-0.031533662,0.014108058880083263,0.9651588331907988,0.0
nan,nan,nan,nan,0,0,40000,40000,False,0,10,f24b3fc66c464d399610b1a20a5bb801,2023-05-25_16-54-29,1685004869,11.534034013748169,115.41112637519836,16968,LAPTOP-DG45TOIF,192.168.1.100,115.41112637519836,0,10,7b727_00000,[],[],5720.932,699.187,5819.407,687.355,40000,40000,40000,10.99375,76.06875,0.0,0.2,5e-05,404.0580472946167,-0.01727640675380826,404.0729694366455,-0.012244951,0.011736702406778932,0.8669650554656982,0.0
nan,nan,nan,nan,0,0,44000,44000,False,0,11,f24b3fc66c464d399610b1a20a5bb801,2023-05-25_16-54-40,1685004880,11.511000871658325,126.92212724685669,16968,LAPTOP-DG45TOIF,192.168.1.100,126.92212724685669,0,11,7b727_00000,[],[],5720.729,699.212,5820.007,687.284,44000,44000,44000,10.41875,76.09375,0.0,0.2,5e-05,452.1673517227173,-0.015981007672962733,452.1814432144165,-0.010472609,0.009446918265894055,0.8117297925055027,0.0
nan,nan,nan,nan,0,0,48000,48000,False,0,12,f24b3fc66c464d399610b1a20a5bb801,2023-05-25_16-54-52,1685004892,11.498034477233887,138.42016172409058,16968,LAPTOP-DG45TOIF,192.168.1.100,138.42016172409058,0,12,7b727_00000,[],[],5718.451,699.49,5814.107,687.982,48000,48000,48000,9.782352941176471,76.05882352941177,0.0,0.2,5e-05,485.0754671096802,-0.013831167219905183,485.08755016326904,0.033534605,0.00871469482081011,0.760375689715147,0.0
nan,nan,nan,nan,0,0,52000,52000,False,0,13,f24b3fc66c464d399610b1a20a5bb801,2023-05-25_16-55-03,1685004903,11.52501392364502,149.9451756477356,16968,LAPTOP-DG45TOIF,192.168.1.100,149.9451756477356,0,13,7b727_00000,[],[],5715.676,699.83,5825.913,686.588,52000,52000,52000,10.86875,76.0375,0.0,0.2,5e-05,343.2297477722168,-0.01686169413733296,343.2448797225952,0.03029032,0.008604641960118897,0.7016095239669085,0.0
